Model,DNP11_E_weight,Base_R50,Ablated_R50,Relative_Drop,flux_share_top1,flux_share_top0p1,flux_gini,Block_Mass_Err,Median_Dist,Dist_Divergence,deg_mean,deg_p95,str_mean,str_p95,reciprocity,rich_club_1,rich_club_5,modularity_proxy,f_val,seed
f_0p001_Seed_000,6.212532980054224,0.05076,0.05119200000000001,-0.008510638297872514,0.26097059157580305,0.15394380381597747,0.6420426299648877,0.2543726387169961,6956.065590543598,0.48208147775678223,130.45381067333392,175.0,512.2020001724287,734.0,0.01432556771666748,0.010860590663702763,0.009395111630228862,0.7387028074592039,0.001,0
f_0p001_Seed_001,6.2128532247713855,0.05103800000000001,0.05067800000000001,0.007053567929777797,0.26095783570868647,0.15362273401521354,0.6420980311373474,0.2543726387169961,6956.209923514377,0.4820707313487785,130.45381067333392,175.0,512.2020001724287,734.0,0.014318958915561827,0.01089789149490642,0.009365811768910312,0.7387028074592039,0.001,1
f_0p001_Seed_002,0.0,0.0506,0.050864000000000006,-0.0052173913043479705,0.2609242522221837,0.15374813405465948,0.6420357450597507,0.2543726387169961,6956.029039607852,0.48208419918118256,130.4622464595952,175.0,512.2351216778393,733.0,0.014322593756169935,0.010835756149337763,0.009380224986066703,0.7387028074592039,0.001,2
f_0p001_Seed_003,6.213347647947856,0.050876,0.050512,0.007154650522839773,0.2609259706872496,0.15365845698016395,0.6419974491812276,0.2543726387169961,6955.679190407838,0.4821102474376747,130.45943440962193,175.0,512.2240807000906,734.0,0.014323254636280501,0.011005321153192232,0.009392159376081288,0.7387028074592039,0.001,3
f_0p001_Seed_004,6.356528869429826,0.050892,0.050338,0.010885797374832959,0.26108940093422356,0.15384370377102755,0.6421477914711278,0.2543726387169961,6955.337159333098,0.4821357135904137,130.45381067333392,175.0,512.2020001724287,734.0,0.014326559036833327,0.01080313571238202,0.009387971652122596,0.7387028074592039,0.001,4
f_0p001_Seed_005,6.255121116795984,0.050762,0.05119800000000001,-0.008589102084236354,0.2608635495047736,0.15370670877917872,0.641973870597115,0.2543726387169961,6956.1964103830505,0.48207173747802157,130.45662248087078,175.0,512.2130401982972,734.0,0.014325237276612196,0.010896883364333348,0.009347499913537649,0.7387028074592039,0.001,5
f_0p001_Seed_006,6.263450243784104,0.051092000000000005,0.051222000000000004,-0.002544429656306235,0.2611474400490078,0.15392462696555168,0.6421401264073805,0.2543726387169961,6955.484239072172,0.48212476266993687,130.45662248087078,175.0,512.2130401982972,733.0,0.014314993634898436,0.010908093130375328,0.009410264344652914,0.7387028074592039,0.001,6
f_0p001_Seed_007,6.215369693452368,0.050346,0.050208,0.0027410320581575344,0.26117989071956593,0.15398690471715545,0.6421582852025487,0.2543726387169961,6955.373246631633,0.4821330266864324,130.45662248087078,175.0,512.2130401982972,733.0,0.014315324074953718,0.010909337308578399,0.009376934852495737,0.7387028074592039,0.001,7
f_0p001_Seed_008,6.21937722878891,0.05131800000000001,0.050914,0.007872481390545392,0.2607946180222838,0.153649295591003,0.6419709084215466,0.2543726387169961,6955.848043164879,0.4820976753925632,130.45662248087078,175.0,512.2130401982972,734.0,0.014323585076335783,0.010945475900076794,0.009395288891530107,0.7387028074592039,0.001,8
f_0p001_Seed_009,6.20949695998355,0.05089400000000001,0.05084000000000001,0.0010610288049671568,0.26094043796477606,0.1537568786094082,0.6419957589606399,0.2543726387169961,6955.6659278602565,0.4821112349095373,130.45943440962193,175.0,512.2240807000906,734.0,0.014322924196225217,0.010872107668501925,0.009361088855739452,0.7387028074592039,0.001,9
f_0p005_Seed_000,6.471614647524718,0.053622,0.054322,-0.013054343366528649,0.25804582892449096,0.15036399207386625,0.6401756622340774,0.2543726387169961,6954.094225703397,0.4822282570462454,130.47068333692607,176.0,512.2682474671266,736.0,0.014340107079099914,0.010868958069561332,0.009499497653808649,0.7387028074592039,0.005,0
f_0p005_Seed_001,6.471704883456076,0.05504000000000001,0.054448,0.010755813953488536,0.2583384832756273,0.15063308753276944,0.6402904326660516,0.2543726387169961,6954.4362100669105,0.48220279437142216,130.47068333692607,176.0,512.2682474671266,735.5499999999956,0.01434836808048198,0.011006506991554756,0.00946379979479859,0.7387028074592039,0.005,1
f_0p005_Seed_002,0.0,0.054074000000000004,0.053852,0.004105485076007081,0.2582925639118498,0.15057202256241964,0.6403540848616777,0.2543726387169961,6954.741440197316,0.4821800682576405,130.47349587186616,176.0,512.2792903490051,735.0,0.014341428839321045,0.010729320430812967,0.00947074606831144,0.7387028074592039,0.005,2
