null_type,eta,cap,lambda,beats_null,J_real,q10_null,coverage_ok
N0,1.0,100000,0.1,True,-2974.5620523980674,-2.0673230480548574,True
N0,1.0,100000,1.0,True,-2975.585756792086,-3.041487626889921,True
N0,1.0,100000,10.0,True,-2985.8228007322737,-12.702859330336219,True
N0,1.0,100000,100.0,True,-3088.1932401341496,-115.07329873221201,True
N0,1.0,1000000,0.1,True,-2973.7212215087634,-2.088813185950685,True
N0,1.0,1000000,1.0,True,-2974.744925902782,-3.0194452474179467,True
N0,1.0,1000000,10.0,True,-2984.9819698429696,-12.74146290455423,True
N0,1.0,1000000,100.0,True,-3087.3524092448456,-115.11190230643001,True
N0,1.25,100000,0.1,True,-2583.1514785893532,-2.126142778390296,True
N0,1.25,100000,1.0,True,-2584.175182983372,-3.066733854217052,True
N0,1.25,100000,10.0,True,-2594.4122269235595,-12.691288954242593,True
N0,1.25,100000,100.0,True,-2696.7826663254355,-115.06172835611838,True
N0,1.25,1000000,0.1,True,-2582.3106477000492,-2.1476329162861236,True
N0,1.25,1000000,1.0,True,-2583.334352094068,-3.044691474745078,True
N0,1.25,1000000,10.0,True,-2593.5713960342555,-12.729892528460605,True
N0,1.25,1000000,100.0,True,-2695.9418354361314,-115.10033193033638,True
N0,1.5,100000,0.1,True,-2227.3892967602037,-2.1657947820613193,True
N0,1.5,100000,1.0,True,-2228.4130011542225,-3.091655618792056,True
N0,1.5,100000,10.0,True,-2238.65004509441,-12.680642540589659,True
N0,1.5,100000,100.0,True,-2341.020484496286,-115.05108194246544,True
N0,1.5,1000000,0.1,True,-2226.5484658708997,-2.1890887964649015,True
N0,1.5,1000000,1.0,True,-2227.5721702649184,-3.069613239320082,True
N0,1.5,1000000,10.0,True,-2237.809214205106,-12.719246114807671,True
N0,1.5,1000000,100.0,True,-2340.179653606982,-115.08968551668346,True
N0,2.0,100000,0.1,True,-1620.117820210737,-2.1298197666815866,True
N0,2.0,100000,1.0,True,-1621.1415246047557,-3.1025496288817798,True
N0,2.0,100000,10.0,True,-1631.3785685449432,-12.699892316857028,True
N0,2.0,100000,100.0,True,-1733.749007946819,-115.03469060479556,True
N0,2.0,1000000,0.1,True,-1619.276989321433,-2.1054164262868813,True
N0,2.0,1000000,1.0,True,-1620.3006937154516,-3.120860481905845,True
N0,2.0,1000000,10.0,True,-1630.5377376556391,-12.702854777137782,True
N0,2.0,1000000,100.0,True,-1732.9081770575149,-115.07329417901357,True
N1,1.0,100000,0.1,True,-3.2600347769448947,-2.3122256649337474,True
N1,1.0,100000,1.0,True,-23.56598702978313,-3.2706184138489514,True
N1,1.0,100000,10.0,True,-226.6255095581655,-13.118136667301473,True
N1,1.0,100000,100.0,True,-2257.2207348419893,-109.97407633522552,True
N1,1.0,1000000,0.1,True,-3.0244835403153014,-2.284406937367579,True
N1,1.0,1000000,1.0,True,-23.330435793153537,-3.248279545895473,True
N1,1.0,1000000,10.0,True,-226.38995832153591,-13.11842270490611,True
N1,1.0,1000000,100.0,True,-2256.9851836053595,-109.96730837021029,True
N1,1.25,100000,0.1,True,-2.686103681293907,-2.331936600044073,True
N1,1.25,100000,1.0,True,-22.992055934132143,-3.295809208571967,True
N1,1.25,100000,10.0,True,-226.0515784625145,-13.012199348638923,True
N1,1.25,100000,100.0,True,-2256.6468037463383,-109.86108501394311,True
N1,1.25,1000000,0.1,True,-2.450552444664314,-2.3041178724779043,True
N1,1.25,1000000,1.0,True,-22.75650469750255,-3.267990481005798,True
N1,1.25,1000000,10.0,True,-225.8160272258849,-13.005431383623696,True
N1,1.25,1000000,100.0,True,-2256.4112525097084,-109.85431704892788,True
N1,1.5,100000,0.1,True,-2.6952091542912195,-2.26074123574102,True
N1,1.5,100000,1.0,True,-23.001161407129455,-3.224613844268914,True
N1,1.5,100000,10.0,True,-226.0606839355118,-12.947602311288312,True
N1,1.5,100000,100.0,True,-2256.6559092193356,-109.7964879765925,True
N1,1.5,1000000,0.1,True,-2.4596579176616262,-2.2502545590616148,True
N1,1.5,1000000,1.0,True,-22.765610170499862,-3.214127167589509,True
N1,1.5,1000000,10.0,True,-225.82513269888221,-12.921335789025475,True
N1,1.5,1000000,100.0,True,-2256.420357982706,-109.77022145432966,True
N1,2.0,100000,0.1,True,-4.3534228844292215,-1.9512520770241326,True
N1,2.0,100000,1.0,True,-24.659375137267457,-3.143476343702894,True
N1,2.0,100000,10.0,True,-227.71889766564982,-12.880400297140241,True
N1,2.0,100000,100.0,True,-2258.3141229494736,-109.72928596244442,True
N1,2.0,1000000,0.1,True,-4.117871647799628,-1.9407654003447279,True
N1,2.0,1000000,1.0,True,-24.423823900637863,-3.2036011288706407,True
N1,2.0,1000000,10.0,True,-227.48334642902023,-12.854133774877404,True
N1,2.0,1000000,100.0,True,-2258.0785717128438,-109.70301944018158,True
N2,1.0,100000,0.1,True,-62.162780036551,-2.0193070040283825,True
N2,1.0,100000,1.0,True,-75.06230722208156,-2.898193587483008,True
N2,1.0,100000,10.0,True,-204.05757907738717,-13.457395305146536,True
N2,1.0,100000,100.0,True,-1494.0102976304433,-122.25862379712567,True
N2,1.0,1000000,0.1,True,-62.2910300375962,-2.0063775439211753,True
N2,1.0,1000000,1.0,True,-75.19055722312676,-2.9039301154575963,True
N2,1.0,1000000,10.0,True,-204.18582907843236,-13.404625774823181,True
N2,1.0,1000000,100.0,True,-1494.1385476314886,-122.24773646346858,True
N2,1.25,100000,0.1,True,-60.67247101725229,-1.9145023304770408,True
N2,1.25,100000,1.0,True,-73.57199820278285,-2.793711082028771,True
N2,1.25,100000,10.0,True,-202.56727005808847,-13.3949544117873,True
N2,1.25,100000,100.0,True,-1492.5199886111445,-122.2948102520543,True
N2,1.25,1000000,0.1,True,-60.800721018297494,-1.9387751645712694,True
N2,1.25,1000000,1.0,True,-73.70024820382805,-2.8138250215658087,True
N2,1.25,1000000,10.0,True,-202.69552005913366,-13.342184881463947,True
N2,1.25,1000000,100.0,True,-1492.6482386121897,-122.28392291839722,True
N2,1.5,100000,0.1,True,-58.424813333302936,-1.9118975460296033,True
N2,1.5,100000,1.0,True,-71.3243405188335,-2.6913250181777553,True
N2,1.5,100000,10.0,True,-200.3196123741391,-13.299616845975338,True
N2,1.5,100000,100.0,True,-1490.2723309271953,-122.3181772716143,True
N2,1.5,1000000,0.1,True,-58.55306333434814,-1.9262546491122787,True
N2,1.5,1000000,1.0,True,-71.4525905198787,-2.7119235568247717,True
N2,1.5,1000000,10.0,True,-200.44786237518431,-13.246847315651983,True
N2,1.5,1000000,100.0,True,-1490.4005809282405,-122.30728993795722,True
N2,2.0,100000,0.1,True,-52.34920258024147,-1.8169970252924097,True
N2,2.0,100000,1.0,True,-65.24872976577203,-2.621905915357837,True
N2,2.0,100000,10.0,True,-194.24400162107764,-13.062177737557496,True
N2,2.0,100000,100.0,True,-1484.1967201741338,-122.33913844329366,True
N2,2.0,1000000,0.1,True,-52.47745258128667,-1.839075339831241,True
N2,2.0,1000000,1.0,True,-65.37697976681723,-2.6512269653736045,True
N2,2.0,1000000,10.0,True,-194.37225162212283,-13.009408207234143,True
N2,2.0,1000000,100.0,True,-1484.324970175179,-122.32825110963658,True
