metric,null,real,null_mean,null_std,z_score,percentile,cohens_d
E_total_eta_1.0,N0,357817655571.22003,485718347609.8222,43029732.88661141,-2972.379409735963,0.0,-3002.556624119381
E_total_eta_1.0,N1,357817655571.22003,345413641403.6751,568450807.8253828,21.820734524059638,100.0,22.042270503477116
E_total_eta_1.0,N2,357817655571.22003,372774334820.1248,321395225.9190961,-46.536718789562194,0.0,-47.00918490038691
E_total_eta_1.25,N0,4279325258864.6934,5989996204198.183,662801860.1080505,-2580.9688359272473,0.0,-2607.172237021866
E_total_eta_1.25,N1,4279325258864.6934,4109861978147.6157,7567127082.61762,22.39466561971058,100.0,22.622028460146556
E_total_eta_1.25,N2,4279325258864.6934,4478478937749.807,4421077726.300378,-45.046409770263864,0.0,-45.503745452373614
E_total_eta_1.5,N0,52237336157653.07,74647046196601.3,10070844430.415901,-2225.2066540980973,0.0,-2247.798163791704
E_total_eta_1.5,N1,52237336157653.07,49964474798971.03,101532476461.87473,22.385560146713203,100.0,22.612830543428903
E_total_eta_1.5,N2,52237336157653.07,54844250297920.05,60910984857.91107,-42.79875208631424,0.0,-43.23326832364957
E_total_eta_2.0,N0,8199860642992719.0,1.194532285340617e+16,2314964321431.1465,-1617.9351775486323,0.0,-1634.3613365212836
E_total_eta_2.0,N1,8199860642992719.0,7799330332787768.0,19323762055940.54,20.7273464165752,100.0,20.937781724518587
E_total_eta_2.0,N2,8199860642992719.0,8639707750778305.0,11977382430170.936,-36.72314133325279,0.0,-37.095974661735774
L_global_cap_100000,N0,2518.7983637110324,2568.5116646610404,24.028882744033094,-2.068897729435754,4.0,-2.089902305807818
L_global_cap_100000,N1,2518.7983637110324,3457.2354289006244,41.115245083470484,-22.82455238402241,0.0,-23.056279668985468
L_global_cap_100000,N2,2518.7983637110324,2936.045207852354,29.398527346527896,-14.192780448596192,0.0,-14.336873284420312
L_global_cap_1000000,N0,24581.51493388515,24885.365935801514,247.42220210403374,-1.2280668401318404,6.0,-1.2405348434393715
L_global_cap_1000000,N1,24581.51493388515,34040.53827202311,418.74464817713744,-22.589001147392807,0.0,-22.81833698793165
L_global_cap_1000000,N2,24581.51493388515,28846.08115043032,297.7834752562771,-14.32103044964136,0.0,-14.466425349314909
reachability,N0,0.9754858704775843,0.9752034952542884,0.00024825301371294293,1.1374493266873127,91.0,1.1489973316523878
reachability,N1,0.9754858704775843,0.9660185523965304,0.00041961027815168783,22.56216916982054,100.0,22.79123259751166
reachability,N2,0.9754858704775843,0.9712110711749132,0.0002982527434586412,14.332807983923335,100.0,14.478322455538398
