target_protocol,target_size,alpha,F_top_1pct,R50_baseline,R50_after_top1pct,relative_drop,seed
descending neurons,17,0.15,0.39065650208785,0.04458982343582057,0.0072156843183323926,0.8381764321467176,
random size-17 seed 0,17,0.15,0.4298511857386381,0.011264627441154699,0.004012124927464219,0.643829771697008,0.0
random size-17 seed 1,17,0.15,0.41160683693462924,0.010869774370452532,0.004238058670803568,0.610106104656234,1.0
random size-17 seed 2,17,0.15,0.41215922505180935,0.009109630438844668,0.0036709261156462787,0.5970279869979176,2.0
random size-17 seed 3,17,0.15,0.422950205243475,0.008567155058028469,0.0037015237271618494,0.5679401502494027,3.0
random size-17 seed 4,17,0.15,0.41897224079270656,0.009894829606084172,0.003643950875687787,0.6317318214911776,4.0
random size-17 seed 5,17,0.15,0.41665304239484346,0.0042015695497858,0.002020042214265524,0.5192172376705015,5.0
random size-17 seed 6,17,0.15,0.41207724291978143,0.013625281178571131,0.004964449145648681,0.6356442791465902,6.0
random size-17 seed 7,17,0.15,0.4176109900777675,0.010684509332004757,0.003685851502952301,0.6550284726775828,7.0
random size-17 seed 8,17,0.15,0.4253149504101598,0.03485504049529961,0.009151038787207293,0.7374543636395614,8.0
random size-17 seed 9,17,0.15,0.4311887248944552,0.016834530664593405,0.005461530437533117,0.6755757231165419,9.0
random enlarged 250 seed 0,250,0.15,0.35461783231090904,0.17789639753807643,0.06502659878250143,0.6344692771612571,0.0
random enlarged 250 seed 1,250,0.15,0.3469038242761774,0.17921763786018707,0.06698003913106856,0.6262642453566895,1.0
random enlarged 250 seed 2,250,0.15,0.35334397239858634,0.23371851917149708,0.08989974338032966,0.6153503637665813,2.0
random enlarged 250 seed 3,250,0.15,0.34679140430202815,0.2379539589050755,0.08132806932084369,0.6582193055536132,3.0
random enlarged 250 seed 4,250,0.15,0.34894300859080585,0.19160861206777785,0.0660929851850437,0.6550625544865145,4.0
random enlarged 2500 seed 0,2500,0.15,0.26593137407217327,0.7534174582952468,0.4142749702982807,0.45013887621391435,0.0
random enlarged 2500 seed 1,2500,0.15,0.2650058858225442,0.7749575416398353,0.43077855485378824,0.4441262498817073,1.0
random enlarged 2500 seed 2,2500,0.15,0.26605357028294163,0.7685081622296834,0.42659174531615035,0.44490928492096454,2.0
random enlarged 2500 seed 3,2500,0.15,0.2662025683010486,0.7701808287325259,0.4298757254170397,0.4418509142528525,3.0
random enlarged 2500 seed 4,2500,0.15,0.2668522750639337,0.8031742517902759,0.45378881464629056,0.43500577410842667,4.0
