bodyId,compartment,evidence_source,neuron_type
10009,lobula,roi_field,
10012,lobula_plate,roi_field,
10015,lobula_plate,roi_field,
10016,lobula_plate,roi_field,
10023,lobula_plate,roi_field,
10025,lobula_plate,roi_field,
10027,lobula_plate,roi_field,
10029,lobula,roi_field,
10037,lobula_plate,roi_field,
10042,unknown,none,
10046,medulla,roi_field,
10050,medulla,roi_field,
10051,lobula,roi_field,
10052,lobula,roi_field,
10053,lobula,roi_field,
10060,medulla,roi_field,
10061,lobula_plate,roi_field,
10063,lobula,roi_field,
10065,unknown,none,
10066,lobula_plate,roi_field,
10067,lobula_plate,roi_field,
10068,medulla,roi_field,
10072,medulla,roi_field,
10077,lobula_plate,roi_field,
10078,medulla,roi_field,
10093,lobula_plate,roi_field,
10100,lobula,roi_field,
10102,medulla,roi_field,
10106,lobula,roi_field,
10107,medulla,roi_field,
10112,lobula_plate,roi_field,
10114,medulla,roi_field,
10121,medulla,roi_field,
10125,medulla,roi_field,
10143,medulla,roi_field,
10150,medulla,roi_field,
10170,medulla,roi_field,
10178,medulla,roi_field,
10188,lobula,roi_field,
10189,medulla,roi_field,
10190,medulla,roi_field,
10206,lobula_plate,roi_field,
10214,lobula_plate,roi_field,
10222,medulla,roi_field,
10231,lobula,roi_field,
10250,lobula,roi_field,
10255,medulla,roi_field,
10256,medulla,roi_field,
10260,unknown,none,
10264,unknown,none,
10266,lobula,roi_field,
10269,medulla,roi_field,
10272,medulla,roi_field,
10275,medulla,roi_field,
10278,medulla,roi_field,
10284,lobula_plate,roi_field,
10286,unknown,none,
10293,lobula,roi_field,
10298,medulla,roi_field,
10302,lobula,roi_field,
10303,medulla,roi_field,
10308,lobula_plate,roi_field,
10311,lobula_plate,roi_field,
10312,medulla,roi_field,
10314,medulla,roi_field,
10317,lobula_plate,roi_field,
10322,medulla,roi_field,
10327,unknown,none,
10330,medulla,roi_field,
10335,lobula,roi_field,
10337,lobula,roi_field,
10340,medulla,roi_field,
10343,medulla,roi_field,
10351,lobula,roi_field,
10352,lobula,roi_field,
10358,medulla,roi_field,
10367,medulla,roi_field,
10372,lobula,roi_field,
10387,lobula,roi_field,
10399,unknown,none,
10403,lobula_plate,roi_field,
10415,lobula,roi_field,
10428,medulla,roi_field,
10432,lobula,roi_field,
10436,lobula_plate,roi_field,
10439,lobula,roi_field,
10441,lobula_plate,roi_field,
10443,medulla,roi_field,
10451,medulla,roi_field,
10457,lobula,roi_field,
10476,lobula,roi_field,
10477,lobula,roi_field,
10480,medulla,roi_field,
10481,lobula_plate,roi_field,
10503,lobula_plate,roi_field,
10508,lobula,roi_field,
10518,medulla,roi_field,
10529,unknown,none,
10531,medulla,roi_field,
10532,medulla,roi_field,
10533,medulla,roi_field,
10541,medulla,roi_field,
10542,lobula,roi_field,
10583,lobula_plate,roi_field,
10612,medulla,roi_field,
10630,lobula_plate,roi_field,
10661,unknown,none,
10663,lobula,roi_field,
10673,unknown,none,
10675,lobula,roi_field,
10677,medulla,roi_field,
10679,lobula,roi_field,
10682,medulla,roi_field,
10687,medulla,roi_field,
10693,lobula,roi_field,
10696,medulla,roi_field,
10705,medulla,roi_field,
10723,medulla,roi_field,
10729,lobula_plate,roi_field,
10730,lobula,roi_field,
10755,lobula_plate,roi_field,
10764,lobula,roi_field,
10766,lobula_plate,roi_field,
10771,lobula,roi_field,
10787,lobula,roi_field,
10803,medulla,roi_field,
10807,medulla,roi_field,
10809,medulla,roi_field,
10818,medulla,roi_field,
10825,medulla,roi_field,
10836,lobula_plate,roi_field,
10839,medulla,roi_field,
10843,medulla,roi_field,
10845,medulla,roi_field,
10854,lobula_plate,roi_field,
10860,medulla,roi_field,
10865,lobula_plate,roi_field,
10870,medulla,roi_field,
10882,medulla,roi_field,
10891,medulla,roi_field,
10893,lobula_plate,roi_field,
10896,medulla,roi_field,
10901,medulla,roi_field,
10902,unknown,none,
10907,medulla,roi_field,
10914,lobula,roi_field,
10915,lobula_plate,roi_field,
10928,unknown,none,
10950,medulla,roi_field,
10955,unknown,none,
10956,lobula,roi_field,
10960,unknown,none,
10974,lobula,roi_field,
10995,unknown,none,
11003,lobula_plate,roi_field,
11009,lobula_plate,roi_field,
11015,medulla,roi_field,
11029,medulla,roi_field,
11031,lobula_plate,roi_field,
11046,lobula,roi_field,
11055,lobula,roi_field,
11077,lobula_plate,roi_field,
11081,medulla,roi_field,
11089,lobula_plate,roi_field,
11102,unknown,none,
11103,unknown,none,
11106,lobula,roi_field,
11113,medulla,roi_field,
11114,medulla,roi_field,
11117,lobula_plate,roi_field,
11124,lobula_plate,roi_field,
11130,medulla,roi_field,
11134,lobula_plate,roi_field,
11146,medulla,roi_field,
11152,lobula,roi_field,
11153,lobula,roi_field,
11155,lobula,roi_field,
11157,lobula,roi_field,
11161,lobula,roi_field,
11169,lobula_plate,roi_field,
11180,lobula,roi_field,
11188,medulla,roi_field,
11202,medulla,roi_field,
11212,medulla,roi_field,
11214,lobula,roi_field,
11217,lobula,roi_field,
11220,unknown,none,
11254,lobula,roi_field,
11260,medulla,roi_field,
11264,lobula,roi_field,
11266,unknown,none,
11279,unknown,none,
11291,lobula,roi_field,
11293,lobula_plate,roi_field,
11296,medulla,roi_field,
11312,medulla,roi_field,
11319,lobula,roi_field,
11335,lobula,roi_field,
11337,unknown,none,
11341,unknown,none,
11344,medulla,roi_field,
